gene,log2FC
AAK1,21.982365
ABCF1,22.484945
ACIN1,22.226860000000002
ACLY,26.94126
AFF4,26.03635
AGFG1,25.58886
AHNAK,23.051645
AJUBA,
AKAP11,22.10032
AKAP9,
AKT1S1,22.492485
ALKBH5,24.966879999999996
ANKIB1,
APBA2,19.196435
ARHGAP12,23.35512
ARHGEF12,17.255380000000002
ARHGEF16,21.962415
ARHGEF17,25.28023
ARID5B,25.58166
ATP1B1,17.52362
ATRX,17.427275
ATXN2L,22.552275
BAD,25.934005
BAHD1,20.59556
BCL7C,16.561585
BOD1L1,22.983265
C18orf25,21.94765
C6orf132,21.628895
CABLES1,
CBX5,
CCNL1,18.715015
CDK13,23.83557
CDKN2AIP,20.72619
CEP170;PLIN5,26.383119999999998
CEP170B,21.509059999999998
CEP170,25.457715
CHAF1A,22.59237
CHD3,19.030935
CHD4,25.209875
CHEK1,21.80647
CNTLN,17.504855
CRK,23.436705
CTTN,
CUL4A,23.468255
DCK,19.726255000000002
DENND1B,20.44707
DENND4C,19.658805
DGCR14,
DGCR8,23.57669
DNAJC2,23.891015
EDC3,22.247605
EFS,26.120365
EHMT2,24.10834
EIF4EBP2,
EIF4ENIF1,11.538651999999999
EIF4G1,17.23605
EPN3,13.782023500000001
ERBB2IP,22.452135
EZH2,23.452840000000002
FAM117B,23.752205
FAM122A,21.827975
FAM63A,23.26541
FAM83H,22.001365
FAM91A1,20.100105
FBXO4,18.73684
FKBP15,22.38768
FOXK1,23.439500000000002
FOXO3,23.865915
FRYL,19.06703
GLCCI1,25.217835
GLYR1,23.729239999999997
GPATCH8,25.067615
GPBP1,20.94887
GRIPAP1,18.39958
GSK3B,22.89932
GTF2F1,26.612065
GTF3C1,24.853704999999998
GYS1,22.528185
HDAC1,23.444095
HDGFRP2,24.088659999999997
HEATR6,24.294655
HS1BP3,13.280459
IRS1,17.167205
ITPR3,23.18085
KAT6A,19.99504
KAT7,
KIAA1217,20.875405
KIF4A,24.624344999999998
KLC1,24.17558
KMT2E,22.878655
LARP1,21.399465
LATS1,24.109285
LIMCH1,21.32039
LRRFIP2,23.612985
MAF1,18.675114999999998
MAP3K5,16.78604
MAP3K7,24.285560000000004
MAPT,23.511335000000003
MCM2,21.361595
MEPCE,25.24974
MIER1,21.935385
MLLT4,
MLLT6,
MLPH,22.787535
MRGBP,21.799395
MTMR3,20.521205000000002
MYBBP1A,21.69546
MYC;MYCN,17.94811
MYH16,
MYO9B,24.048835
NCL,26.813855000000004
