Target,EC50 [nM],Kd [nM]
AKT1,-2.1627980654732415,91.63366852683492
AKT2,-2.783318903303231,456.68423582101536
BMPR2,-2.970629030074307,504.4597186928376
CDKL5,-2.7474147659733794,208.71247747467552
CHEK1,-4.830071190581085,33203.67098026148
CLK1,-3.2832720315969968,618.9997041340573
CLK2,-2.9652835767795698,138.08192443306623
EIF2AK4,-2.6150272107457586,263.50942241205536
LATS1,-3.9727279409615743,4876.627836913967
LIMK1,-2.841649129295877,404.6036676917062
LIMK2,-2.884335641740023,299.9632820148547
MAP2K1,-4.135745578956394,16569.561880364607
MAP2K2,-5.0057121320745885,101323.9547
MAP2K3,-3.6242643641893655,4209.828115
MAP2K6,-3.847731033313213,6310.040261473779
MAP3K11,-3.2273277956541255,719.3591623405908
MOB1B;MOB1A,-4.117584939581735,9073.415850114705
PAK6,-4.589474794654617,20222.11132599208
PKN1,-3.147599290878441,1404.750809
PKN2,-4.5216257375743485,14000.821034330742
PRKAA1,-4.0281742692907105,4115.240572183454
PRKAB1,-4.499018663445859,12676.705085365511
PRKAB2,-3.844010674373339,1575.3835559344807
PRKACA,-2.666402910782263,159.27837909270698
PRKACB,-2.913553384084014,319.7682768693682
PRKAG1,-4.852024426903889,29225.615327448933
PRKAG2,-4.162223880568468,4942.030902091205
PRKCD,-3.7616589559957303,4648.122033245863
PRKCH,-2.9985461487481775,569.9957227462969
PRKD2,-3.5799367123710524,2191.174548381681
PRKX,-2.625818340521349,258.81135855355313
RET,-4.693485156571683,7626.44693045415
ROCK1,-2.7126498344405037,361.2130936179807
ROCK2,-2.5183411457945755,181.3733322153299
RPS6KB1,-1.624395758830615,14.6910586707351
RPS8,-2.4943895777083207,313.5557595392247
STK4,-5.029171796746192,57334.17554176035
